slug,name,category,hero,body,cta,header,footer,variation,description
monolith,Monolith,Developer / Backend,centered-display,stats-then-services,minimal,header-dark,footer-dark,Dark,"Backend-focused developer portfolio. Dark interface, large display type, monospace accents, project-led."
northline,Northline,Developer / Frontend,split-profile-image,portfolio-three-col,split-band,header,footer,Modern,"Frontend developer portfolio. Editorial split hero with portrait, three-column project grid."
gridline,Gridline,Developer / WordPress,large-typography,services-numbered-then-stats,typography-link,header-minimal,footer-minimal,Minimal,"WordPress developer portfolio. Typography-led hero, numbered services grid, text-link CTA."
vertex,Vertex,Developer / Software Engineer,stats-asymmetric,experience-vertical-then-portfolio,full-width,header,footer-multi-column,Corporate,"Software engineer portfolio. Stats-led asymmetric hero, vertical experience timeline, full-width CTA."
compile,Compile,Developer / Mobile,centered-intro,portfolio-two-col-large,minimal,header-minimal,footer-compact,Modern,"Mobile developer portfolio. Centered intro, large two-column project grid, minimal CTA."
terminal,Terminal,Developer / DevOps,dark-mono-display,stats-large-numbers,split-band,header-dark,footer-dark,Dark,"DevOps engineer portfolio. Terminal aesthetic, large numerical stats, split CTA."
frame,Frame,Developer / Web,centered-intro,portfolio-four-col,typography-link,header,footer-minimal,Modern,"Web developer portfolio. Centered intro, dense four-column project grid, typography CTA."
blueprint,Blueprint,Developer / Architect,split-profile-image,services-then-experience,split-band,header,footer,Corporate,"Software architect portfolio. Split hero with portrait, services then experience sections, split CTA."
keystone,Keystone,Developer / Tech Consultant,stats-asymmetric,services-three-col-list,full-width,header-portfolio,footer-portfolio,Corporate,"Technology consultant portfolio. Stats-led hero, three-column services list, full-width CTA."
syntax,Syntax,Developer / Full Stack,minimal-display,experience-resume,minimal,header-minimal,footer-minimal,Minimal,"Full-stack developer portfolio. Minimal hero, résumé-style experience, minimal CTA. Ultra-restrained."
canvas,Canvas,Designer / UI,image-focus,portfolio-three-col,full-width,header-transparent,footer-social,Creative,"UI designer portfolio. Image-led full-bleed hero, three-column project grid, social-led footer."
palette,Palette,Designer / UX,split-profile-image,services-then-portfolio,split-band,header,footer,Creative,"UX designer portfolio. Split hero with portrait, services then portfolio, split CTA."
studio-craft,Studio Craft,Designer / Product,centered-display,portfolio-then-testimonials,full-width,header,footer-multi-column,Editorial,"Product designer portfolio. Centered display hero, portfolio then testimonials, full-width CTA."
inkwell,Inkwell,Designer / Visual,large-typography,portfolio-asymmetric,typography-link,header-editorial,footer-editorial,Editorial,"Visual designer portfolio. Editorial masthead hero, asymmetric portfolio grid, typography CTA."
marker,Marker,Designer / Brand,centered-intro,services-numbered-then-portfolio,split-band,header,footer-portfolio,Modern,"Brand designer portfolio. Centered intro, numbered services then portfolio, split CTA."
draft,Draft,Designer / Web,minimal-display,portfolio-minimal-list,minimal,header-minimal,footer-minimal,Minimal,"Web designer portfolio. Minimal display hero, minimal portfolio list, minimal CTA. Ultra-restrained."
vivid,Vivid,Creative / Illustrator,image-focus,portfolio-four-col,full-width,header-transparent,footer-social,Creative,"Illustrator portfolio. Image-led hero, dense four-column grid, full-width CTA."
fieldnotes,Fieldnotes,Creative / Art Director,editorial-large-typography,experience-editorial-then-blog,typography-link,header-editorial,footer-editorial,Editorial,"Art director portfolio. Editorial typography hero, experience + blog sections, typography CTA."
atlas,Atlas,Creative / Motion,dark-creative-large,portfolio-then-stats,split-band,header-dark,footer-dark,Dark,"Motion designer portfolio. Dark creative hero, portfolio then stats, split CTA."
obscura,Obscura,Creative / Studio,image-focus-dark,portfolio-asymmetric-dark,full-width-dark,header-transparent,footer-dark,Dark,"Creative studio portfolio. Dark image-led hero, asymmetric portfolio, full-width dark CTA."
aperture,Aperture,Photography / General,image-focus,portfolio-large-showcase,minimal,header-transparent,footer-minimal,Minimal,"Photographer portfolio. Full-bleed image hero, large showcase portfolio, minimal CTA. Image-first."
veil,Veil,Photography / Wedding,image-focus,portfolio-two-col-large,split-band,header-transparent,footer-portfolio,Elegant,"Wedding photographer portfolio. Full-bleed image hero, two-column large grid, split CTA. Elegant tone."
runway,Runway,Photography / Fashion,dark-creative-large,portfolio-asymmetric-dark,full-width-dark,header-dark,footer-dark,Dark,"Fashion photographer portfolio. Dark hero, asymmetric portfolio, full-width dark CTA."
compass,Compass,Photography / Travel,centered-intro,portfolio-four-col,typography-link,header-minimal,footer-social,Modern,"Travel photographer portfolio. Centered intro, dense four-column grid, typography CTA."
studio-light,Studio Light,Photography / Product,split-profile-image,portfolio-three-col,split-band,header,footer,Modern,"Product photographer portfolio. Split hero, three-column grid, split CTA."
visage,Visage,Photography / Portrait,image-focus,portfolio-two-col-large,minimal,header-transparent,footer-minimal,Editorial,"Portrait photographer portfolio. Image-led hero, two-column large grid, minimal CTA."
edifice,Edifice,Photography / Architecture,minimal-display,portfolio-asymmetric,typography-link,header-minimal,footer-minimal,Minimal,"Architecture photographer portfolio. Minimal hero, asymmetric portfolio, typography CTA."
exposure,Exposure,Photography / Studio,dark-creative-large,portfolio-large-showcase,full-width-dark,header-dark,footer-dark,Dark,"Photography studio portfolio. Dark hero, large showcase portfolio, full-width dark CTA."
northbound,Northbound,Agency / Creative,dark-creative-large,services-three-col-then-portfolio,full-width-dark,header-dark,footer-multi-column,Dark,"Creative agency site. Dark hero, services then portfolio, full-width CTA."
signal,Signal,Agency / Digital,centered-display,services-then-portfolio,split-band,header,footer-multi-column,Corporate,"Digital agency site. Centered display hero, services then portfolio, split CTA."
blueprint-studio,Blueprint Studio,Agency / Web,split-profile-image,portfolio-three-col,full-width,header,footer,Modern,"Web agency site. Split hero with portrait, three-column portfolio, full-width CTA."
foundry,Foundry,Agency / Branding,editorial-large-typography,services-then-portfolio-asymmetric,typography-link,header-editorial,footer-editorial,Editorial,"Branding studio site. Editorial typography hero, services then asymmetric portfolio, typography CTA."
workshop,Workshop,Agency / Design Studio,centered-intro,services-numbered-then-stats,split-band,header,footer-multi-column,Modern,"Design studio site. Centered intro, numbered services then stats, split CTA."
codecraft,Codecraft,Agency / Development,dark-mono-display,services-three-col-then-portfolio,full-width-dark,header-dark,footer-dark,Dark,"Development agency site. Dark mono hero, services then portfolio, full-width dark CTA."
momentum,Momentum,Agency / Marketing,stats-asymmetric,services-then-testimonials,full-width,header,footer-newsletter,Corporate,"Marketing agency site. Stats-led hero, services then testimonials, full-width CTA with newsletter footer."
perspective,Perspective,Agency / Consultancy,centered-display,services-then-experience,split-band,header,footer-multi-column,Corporate,"Creative consultancy site. Centered display hero, services then experience, split CTA."
frame-works,Frame Works,Agency / Production,image-focus,portfolio-large-showcase,minimal,header-transparent,footer-social,Dark,"Production studio site. Image-led hero, large showcase portfolio, minimal CTA. Cinematic."
solo-practice,Solo Practice,Agency / Independent,split-profile-image,services-then-portfolio-minimal,minimal,header-minimal,footer-minimal,Minimal,"Independent studio site. Split hero with portrait, services then minimal portfolio, minimal CTA. Restrained."
meridian,Meridian,Business / Consultant,centered-display,services-then-experience,full-width,header,footer-multi-column,Corporate,"Consultant portfolio. Centered display hero, services then experience, full-width CTA. Trustworthy tone."
criterion,Criterion,Business / Strategy,stats-asymmetric,services-three-col-list,split-band,header,footer-multi-column,Corporate,"Strategy consultant portfolio. Stats-led hero, three-column services list, split CTA."
compass-rose,Compass Rose,Business / Marketing,centered-intro,services-then-testimonials,full-width,header,footer-newsletter,Modern,"Marketing consultant portfolio. Centered intro, services then testimonials, full-width CTA with newsletter footer."
ledger,Ledger,Business / Financial,minimal-display,experience-resume,split-band,header-minimal,footer-compact,Minimal,"Financial consultant portfolio. Minimal hero, résumé-style experience, split CTA. Restrained."
keystone-pro,Keystone Pro,Business / HR,centered-display,services-then-testimonials,split-band,header,footer-multi-column,Corporate,"HR consultant portfolio. Centered display hero, services then testimonials, split CTA."
vantage,Vantage,Business / Management,stats-asymmetric,services-then-experience,full-width,header,footer-multi-column,Corporate,"Management consultant portfolio. Stats-led hero, services then experience, full-width CTA."
catalyst,Catalyst,Business / Coach,centered-intro,testimonials-then-services,full-width,header,footer-cta,Creative,"Business coach portfolio. Centered intro, testimonials then services, full-width CTA."
advisor,Advisor,Business / Professional Advisor,split-profile-image,services-then-experience,split-band,header,footer-multi-column,Elegant,"Professional advisor portfolio. Split hero with portrait, services then experience, split CTA. Elegant."
summit,Summit,Business / Corporate,centered-display,services-three-col-then-stats,full-width,header,footer-multi-column,Corporate,"Corporate professional portfolio. Centered display hero, services then stats, full-width CTA."
impact,Impact,Business / Freelancer,centered-intro,portfolio-three-col,minimal,header-minimal,footer-minimal,Modern,"Freelancer portfolio. Centered intro, three-column portfolio, minimal CTA. Lightweight."
plan,Plan,Architecture / Architect,minimal-display,portfolio-asymmetric,typography-link,header-minimal,footer-minimal,Minimal,"Architect portfolio. Minimal hero, asymmetric portfolio, typography CTA. Geometric."
atelier-arch,Atelier Arch,Architecture / Studio,editorial-large-typography,portfolio-then-services,typography-link,header-editorial,footer-editorial,Editorial,"Architecture studio site. Editorial typography hero, portfolio then services, typography CTA."
interior,Interior,Architecture / Interior Designer,split-profile-image,portfolio-three-col,split-band,header,footer,Elegant,"Interior designer portfolio. Split hero, three-column portfolio, split CTA. Elegant tone."
spacecraft,Spacecraft,Architecture / Interior Studio,centered-intro,portfolio-then-services,full-width,header,footer-multi-column,Modern,"Interior studio site. Centered intro, portfolio then services, full-width CTA."
verdure,Verdure,Architecture / Landscape,image-focus,portfolio-two-col-large,minimal,header-transparent,footer-minimal,Editorial,"Landscape designer portfolio. Image-led hero, two-column large grid, minimal CTA."
grid-city,Grid City,Architecture / Urban,minimal-display,portfolio-asymmetric,typography-link,header-minimal,footer-minimal,Modern,"Urban designer portfolio. Minimal hero, asymmetric portfolio, typography CTA. Grid-led."
structural,Structural,Architecture / Portfolio,centered-display,portfolio-large-showcase,split-band,header,footer-portfolio,Corporate,"Architectural portfolio. Centered display hero, large showcase portfolio, split CTA."
form,Form,Architecture / Furniture,split-profile-image,portfolio-four-col,minimal,header,footer-minimal,Minimal,"Furniture designer portfolio. Split hero, dense four-column grid, minimal CTA."
signature,Signature,Personal / Brand,split-profile-image,about-then-services,split-band,header,footer-portfolio,Elegant,"Personal brand site. Split hero with portrait, about then services, split CTA. Elegant tone."
founder,Founder,Personal / Entrepreneur,centered-display,services-then-stats,full-width,header,footer-multi-column,Corporate,"Entrepreneur site. Centered display hero, services then stats, full-width CTA."
executive,Executive,Personal / Executive,stats-asymmetric,experience-resume,split-band,header,footer-multi-column,Corporate,"Executive portfolio. Stats-led hero, résumé-style experience, split CTA. Structured."
speaker,Speaker,Personal / Speaker,centered-intro,testimonials-then-services,full-width,header,footer-cta,Creative,"Speaker site. Centered intro, testimonials then services, full-width CTA."
scribe,Scribe,Personal / Author,editorial-large-typography,blog-then-testimonials,typography-link,header-editorial,footer-newsletter,Editorial,"Author site. Editorial typography hero, blog then testimonials, typography CTA with newsletter footer."
writer,Writer,Personal / Writer,minimal-display,blog-then-about,minimal,header-minimal,footer-minimal,Minimal,"Writer portfolio. Minimal display hero, blog then about, minimal CTA. Reading-first."
freelance,Freelance,Personal / Freelancer,split-profile-image,services-then-portfolio-minimal,minimal,header-minimal,footer-minimal,Minimal,"Freelancer portfolio. Split hero, services then minimal portfolio, minimal CTA. Restrained."
creator,Creator,Personal / Online Creator,image-focus,portfolio-three-col,full-width,header-transparent,footer-social,Creative,"Online creator portfolio. Image-led hero, three-column portfolio, full-width CTA. Social-led footer."
professional,Professional,Personal / Portfolio,centered-intro,experience-then-services,split-band,header,footer-multi-column,Corporate,"Professional portfolio. Centered intro, experience then services, split CTA."
personal-brand,Personal Brand,Personal / Brand Alt,centered-display,about-then-portfolio,full-width,header,footer-portfolio,Elegant,"Personal brand site (alternate). Centered display hero, about then portfolio, full-width CTA."
scholar,Scholar,Education / Academic,minimal-display,experience-resume,typography-link,header-minimal,footer-minimal,Minimal,"Academic portfolio. Minimal hero, résumé-style experience, typography CTA. Restrained."
research,Research,Education / Researcher,centered-display,blog-then-about,minimal,header-minimal,footer-minimal,Minimal,"Researcher portfolio. Centered display hero, blog then about, minimal CTA. Reading-first."
professor,Professor,Education / Professor,split-profile-image,experience-then-blog,split-band,header,footer-multi-column,Editorial,"Professor portfolio. Split hero with portrait, experience then blog, split CTA. Editorial."
teacher,Teacher,Education / Teacher,centered-intro,services-then-testimonials,full-width,header,footer-cta,Creative,"Teacher portfolio. Centered intro, services then testimonials, full-width CTA."
guide,Guide,Education / Consultant,centered-display,services-then-experience,split-band,header,footer-multi-column,Corporate,"Education consultant portfolio. Centered display hero, services then experience, split CTA."
course,Course,Education / Course Creator,stats-asymmetric,testimonials-then-services,full-width,header,footer-newsletter,Creative,"Course creator portfolio. Stats-led hero, testimonials then services, full-width CTA with newsletter footer."
academia,Academia,Education / Portfolio,minimal-display,experience-resume,minimal,header-minimal,footer-minimal,Minimal,"Academic portfolio. Minimal hero, résumé-style experience, minimal CTA. Restrained."
thesis,Thesis,Education / Research Portfolio,editorial-large-typography,blog-then-about,typography-link,header-editorial,footer-editorial,Editorial,"Research portfolio. Editorial typography hero, blog then about, typography CTA."
minimal,Minimal,Lifestyle / Minimal,minimal-display,portfolio-minimal-list,minimal,header-minimal,footer-minimal,Minimal,"Minimal personal site. Minimal display hero, minimal portfolio list, minimal CTA. Ultra-restrained."
editorial,Editorial,Lifestyle / Editorial,editorial-large-typography,blog-then-testimonials,typography-link,header-editorial,footer-editorial,Editorial,"Editorial portfolio. Editorial typography hero, blog then testimonials, typography CTA."
lux,Lux,Lifestyle / Luxury,image-focus,portfolio-two-col-large,minimal,header-transparent,footer-portfolio,Elegant,"Luxury portfolio. Image-led hero, two-column large grid, minimal CTA. Refined."
couture,Couture,Lifestyle / Fashion,dark-creative-large,portfolio-asymmetric-dark,full-width-dark,header-dark,footer-dark,Dark,"Fashion professional portfolio. Dark hero, asymmetric portfolio, full-width dark CTA."
lifestyle,Lifestyle,Lifestyle / Creator,image-focus,portfolio-three-col,full-width,header-transparent,footer-social,Creative,"Lifestyle creator portfolio. Image-led hero, three-column portfolio, full-width CTA."
wander,Wander,Lifestyle / Travel,image-focus,portfolio-four-col,typography-link,header-transparent,footer-social,Modern,"Travel creator portfolio. Image-led hero, dense four-column grid, typography CTA."
content,Content,Lifestyle / Content Creator,centered-intro,blog-then-testimonials,full-width,header,footer-newsletter,Creative,"Content creator portfolio. Centered intro, blog then testimonials, full-width CTA with newsletter footer."
modern-freelance,Modern Freelance,Lifestyle / Modern Freelancer,split-profile-image,services-then-portfolio-minimal,minimal,header-minimal,footer-minimal,Modern,"Modern freelancer portfolio. Split hero, services then minimal portfolio, minimal CTA."
director,Director,Specialized / Film Director,image-focus-dark,portfolio-large-showcase,minimal,header-transparent,footer-minimal,Dark,"Film director portfolio. Dark image-led hero, large showcase portfolio, minimal CTA. Cinematic."
producer,Producer,Specialized / Music Producer,dark-creative-large,portfolio-two-col-large,full-width-dark,header-dark,footer-dark,Dark,"Music producer portfolio. Dark hero, two-column large grid, full-width dark CTA."
curator,Curator,Specialized / Art Curator,editorial-large-typography,portfolio-asymmetric,typography-link,header-editorial,footer-editorial,Editorial,"Art curator portfolio. Editorial typography hero, asymmetric portfolio, typography CTA."
copy,Copy,Specialized / Copywriter,minimal-display,blog-then-testimonials,minimal,header-minimal,footer-minimal,Minimal,"Copywriter portfolio. Minimal display hero, blog then testimonials, minimal CTA. Reading-first."
journalist,Journalist,Specialized / Journalist,editorial-large-typography,blog-then-about,typography-link,header-editorial,footer-newsletter,Editorial,"Journalist portfolio. Editorial typography hero, blog then about, typography CTA with newsletter footer."
pm,PM,Specialized / Product Manager,stats-asymmetric,services-then-experience,split-band,header,footer-multi-column,Corporate,"Product manager portfolio. Stats-led hero, services then experience, split CTA."
technologist,Technologist,Specialized / Creative Technologist,dark-mono-display,portfolio-then-stats,full-width-dark,header-dark,footer-dark,Dark,"Creative technologist portfolio. Dark mono hero, portfolio then stats, full-width dark CTA."
independent,Independent,Specialized / Independent Professional,split-profile-image,services-then-portfolio,minimal,header-minimal,footer-minimal,Minimal,"Independent professional portfolio. Split hero with portrait, services then portfolio, minimal CTA."
studio-noir,Studio Noir,Creative / Studio Alt,image-focus-dark,portfolio-asymmetric-dark,full-width-dark,header-dark,footer-dark,Dark,"Dark creative studio. Image-led dark hero, asymmetric portfolio, full-width dark CTA. Cinematic."
polyglot,Polyglot,Developer / Language Switcher,centered-display,services-three-col-then-portfolio,split-band,header-with-language-switcher,footer-multi-column,Modern,"Polyglot developer portfolio. Centered display hero, services then portfolio, split CTA. Bilingual header."
searchlight,Searchlight,Agency / Search,centered-intro,services-then-portfolio,full-width,header-with-search,footer-multi-column,Corporate,"Agency site with search affordance. Centered intro, services then portfolio, full-width CTA."
central,Central,Personal / Centered,centered-display,portfolio-three-col,full-width,header-centered,footer-portfolio,Elegant,"Centered personal portfolio. Centered display hero with centered header, three-column portfolio, full-width CTA."
stack,Stack,Personal / Stacked,minimal-display,experience-resume,typography-link,header-stacked,footer-minimal,Minimal,"Stacked personal portfolio. Stacked header with large title, résumé-style experience, typography CTA."
split,Split,Agency / Split Header,split-profile-image,services-then-portfolio,split-band,header-split,footer-multi-column,Modern,"Split-header agency site. Split hero with portrait, services then portfolio, split CTA."
pill,Pill,Designer / Portfolio CTA,centered-intro,portfolio-four-col,full-width,header-portfolio,footer-portfolio,Creative,"Designer portfolio with pill CTA header. Centered intro, dense four-column grid, full-width CTA."
text-link,Text Link,Personal / CTA Header,centered-display,services-then-experience,minimal,header-cta,footer-minimal,Minimal,"Personal portfolio with text-link CTA header. Centered display hero, services then experience, minimal CTA."
magazine,Magazine,Lifestyle / Editorial Magazine,editorial-large-typography,blog-then-testimonials,typography-link,header-editorial,footer-editorial,Editorial,"Magazine-style portfolio. Editorial typography hero, blog then testimonials, typography CTA. Publication tone."
concise,Concise,Lifestyle / Ultra Minimal,minimal-display,portfolio-minimal-list,minimal,header-minimal,footer-compact,Minimal,"Ultra-minimal personal site. Minimal display hero, minimal portfolio list, minimal CTA with compact footer. Maximum restraint."
darkroom,Darkroom,Photography / Dark,dark-creative-large,portfolio-large-showcase,full-width-dark,header-dark,footer-dark,Dark,"Dark-mode photographer portfolio. Dark creative hero, large showcase portfolio, full-width dark CTA."
